,Description,Level,Type,Function,Industry
252,"Festanstellung




Karlsruhe, München




Junior Software Developer:in (m/w/d)




Über Power Reply GmbH & Co. KG




Ohne Power geht das Licht aus!




Wir sind ein auf die Energie- und Versorgungsbranche spezialisierter IT Innovationstreiber. Führend im Thema Customer Experience unterstützen wir unsere Kunden in ihren Vertriebs- und Kundenserviceprozessen. Mit neuesten innovativen Technologien verändern wir die




spannende und zukunftsorientierte Welt der Energiebranche und bieten Dir die Möglichkeit, eines der




wichtigsten Themen der heutigen Gesellschaft mitzugestalten.




Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise.




Für unserer Projekte benötigen wir gute Deutschkenntnisse, bitte lade daher auch deine Unterlagen in Deutsch auf die Plattform hoch.




Was erwartet dich?




Du unterstützt unser Team in spannenden Customer Experience-Projekten bei führenden Energieversorgern in der DACH-Region.
Dein Fokus liegt auf der Softwareprogrammierung, dabei analysierst du betriebswirtschaftliche Prozesse und entwickelst neue anspruchsvolle Lösungen auf Basis von SAP Komponenten, AWS und Microsoft Azure.
Du wirst in den kompletten Projektzyklus in enger Zusammenarbeit mit unseren Kunden eingebunden - von der Anforderungsaufnahme und -analyse über die Programmierung bis hin zum laufenden Produkt.
Du konzipierst und integrierst neue Funktionen.
Du entwickelst innovative Technologien.




Was solltest du mitbringen?




Du verfügst über ein erfolgreich abgeschlossenes Hochschulstudium mit Bezug zur (Wirtschafts-) Informatik, Mathematik, Physik, BWL oder vergleichbar.
Du hast bereits Grundkenntnisse in mindestens einer (objektorientierten) Programmiersprache gesammelt.
Idealerweise besitzt du erste Berufserfahrung im IT-Umfeld (auch im Rahmen von Praktika oder Werkstudententätigkeiten).
Du bist ein Teamplayer und teilst gerne deine Ideen.
Sehr gute Kommunikationsfähigkeiten in deutscher Sprache sowie die Bereitschaft, national zu reisen, runden dein Profil ab.




Was bieten wir dir?




Wir bieten dir ein attraktives Gesamtpaket (Gehalt, Hardware nach Wahl, Sportförderung, exklusive Mitarbeiterrabatte)
Regelmäßige und systematische (interne und externe) Weiterbildungsmöglichkeiten
Moderne Arbeitsweisen und flexibles, mobiles Arbeiten in einem internationalen Team mit großem Zusammenhalt
Wir leben das Networking und bieten unzählige Team-Events.
Mentoring mit jemandem aus deinem künftigen Bereich für mindestens sechs Monate
Möglichkeit bzgl. Homeoffice nach der Einarbeitung und attraktive Offices in Karlsruhe + München.




Unser Jobangebot Junior Software Developer:in (m/w/d) klingt vielversprechend?




Bei unserem Partner Workwise ist eine Bewerbung für diesen Job in nur wenigen Minuten und ohne Anschreiben möglich. Anschließend kann der Status der Bewerbung live verfolgt werden. Wir freuen wir uns auf eine Bewerbung über Workwise.




Unser Jobangebot Junior Software Developer:in (m/w/d) klingt vielversprechend? Dann freuen wir uns auf deine Bewerbung.",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
253,"
        Festanstellung Karlsruhe, MünchenJunior Software Developer:in (m/w/d)Über Power Reply GmbH & Co. KGOhne Power geht das Licht aus!Wir sind ein auf die Energie- und Versorgungsbranche spezialisierter IT Innovationstreiber. Führend im Thema Customer Experience unterstützen wir unsere Kunden in ihren Vertriebs- und Kundenserviceprozessen. Mit neuesten innovativen Technologien verändern wir diespannende und zukunftsorientierte Welt der Energiebranche und bieten Dir die Möglichkeit, eines derwichtigsten Themen der heutigen Gesellschaft mitzugestalten.Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise.Für unserer Projekte benötigen wir gute Deutschkenntnisse, bitte lade daher auch deine Unterlagen in Deutsch auf die Plattform hoch.Was erwartet dich? Du unterstützt unser Team in spannenden Customer Experience-Projekten bei führenden Energieversorgern in der DACH-Region.  Dein Fokus liegt auf der Softwareprogrammierung, dabei analysierst du betriebswirtschaftliche Prozesse und entwickelst neue anspruchsvolle Lösungen auf Basis von SAP Komponenten, AWS und Microsoft Azure.  Du wirst in den kompletten Projektzyklus in enger Zusammenarbeit mit unseren Kunden eingebunden - von der Anforderungsaufnahme und -analyse über die Programmierung bis hin zum laufenden Produkt.  Du konzipierst und integrierst neue Funktionen.  Du entwickelst innovative Technologien. Was solltest du mitbringen? Du verfügst über ein erfolgreich abgeschlossenes Hochschulstudium mit Bezug zur (Wirtschafts-) Informatik, Mathematik, Physik, BWL oder vergleichbar.  Du hast bereits Grundkenntnisse in mindestens einer (objektorientierten) Programmiersprache gesammelt.  Idealerweise besitzt du erste Berufserfahrung im IT-Umfeld (auch im Rahmen von Praktika oder Werkstudententätigkeiten).  Du bist ein Teamplayer und teilst gerne deine Ideen.  Sehr gute Kommunikationsfähigkeiten in deutscher Sprache sowie die Bereitschaft, national zu reisen, runden dein Profil ab. Was bieten wir dir? Wir bieten dir ein attraktives Gesamtpaket (Gehalt, Hardware nach Wahl, Sportförderung, exklusive Mitarbeiterrabatte)  Regelmäßige und systematische (interne und externe) Weiterbildungsmöglichkeiten  Moderne Arbeitsweisen und flexibles, mobiles Arbeiten in einem internationalen Team mit großem Zusammenhalt  Wir leben das Networking und bieten unzählige Team-Events.  Mentoring mit jemandem aus deinem künftigen Bereich für mindestens sechs Monate  Möglichkeit bzgl. Homeoffice nach der Einarbeitung und attraktive Offices in Karlsruhe + München. Unser Jobangebot Junior Software Developer:in (m/w/d) klingt vielversprechend?Bei unserem Partner Workwise ist eine Bewerbung für diesen Job in nur wenigen Minuten und ohne Anschreiben möglich. Anschließend kann der Status der Bewerbung live verfolgt werden. Wir freuen wir uns auf eine Bewerbung über Workwise.Unser Jobangebot Junior Software Developer:in (m/w/d) klingt vielversprechend? Dann freuen wir uns auf deine Bewerbung.
      ","
            Berufseinstieg
          ","
          Vollzeit
        ","
            IT
          ","
          Personalberatung und -vermittlung
          "
254,"Die Humintech GmbH ist ein deutsches Biotech-Unternehmen mit Sitz in Grevenbroich, NRW. Seit mehr als 40 Jahren entwickelt die Firma Produkte auf der Basis von Huminsäuren und anderen Huminstoffen. Zur Produktpalette zählen Bodenverbesserer, Pflanzenstärkungsmittel, Tierfutterergänzungen sowie Basisprodukte zur Anwendung in der Umwelttechnik und der Industrie. Mit Kunden in mehr als 70 Ländern zählt der Betrieb heute zu den Weltmarktführern der Branche. Als Huminstoffquelle dient Humintech eine oxidierte Form der Braunkohle, die auch Leonardit genannt wird. Während Braunkohle heute überwiegend als Energieträger Verwendung findet, konzentriert sich Humintech auf die stoffliche, CO2-neutrale Nutzung der Ressource. Das Ergebnis sind nachhaltige, umweltfreundliche und effiziente Produkte made in Germany.




Humintechs Innovationskraft ist preisgekrönt: Das Unternehmen wurde als Hidden Champion gewürdigt, zählte zwei Jahre in Folge zu den 100 Top-Innovatoren des deutschen Mittelstands und gilt als führendes Technologieunternehmen für huminsäurebasierte Produkte. Die Erfolge der Firma reflektieren das öffentliche Interesse nach neuen, ressourcenschonenden Wirtschaftsideen, die sowohl dem Menschen als auch der Umwelt zugutekommen.




Zum nächstmöglichen Zeitpunkt suchen wir eine/n IT-Systemadministrator/in




Ihre Aufgaben




Betreuung der Virtualisierungsumgebung und der zugrundeliegenden Server-, Storage-Einheiten
Begleitung der Migration und Einführung neuer IT-Systeme
Analyse und Behebung von Systemstörungen
Berechtigungsvergabe (Active Director y) sowie E-Mail-Administration unter David Tobit
Eigenständige Konfiguration, Administration, Wartung und Überwachung der
verantworteten Anwendungen
Definition betrieblicher Anforderungen und IT-Standards
Erstellung und Pflege von Betriebsdokumentationen




Ihr Profil




Abgeschlossene Ausbildung der Informatik. Alternativ abgeschlossene IT-Ausbildung mit entsprechender Berufserfahrung
Mehrjährige Berufserfahrung im IT-Bereich
Kenntnisse in den Themen:
Windows Server 2012/2016/2019, Windows 7/10
Virtualisierungslösungen unter VMware ESXi vSphere 6.0/6.5
Vernetzungsstrukturen via VPN




Bei Interesse bewerben Sie sich bitte per Email unter c.schumacher@humintech.com




Ergänzende Informationen




Anforderungen an den Bewerber:




Erweiterte Kenntnisse: Netzwerktechnik VPN (Virtual Private Network), Betriebssystem Windows 7, IT-Organisation, Sicherheitssysteme (IT), Datensicherheit, Datenbankadministration, -management, -organisation, Netzwerkadministration, -management, -organisation, Systembetreuung, Systemadministration, Systemverwaltung, Betriebssystem Windows 10, Betriebssystem Windows Server 2016, Betriebssystem Windows Server 2012, Anwenderberatung, Anwender-Support (IT)",Berufseinstieg,Vollzeit,IT,Biotechnologieforschung
255,"Für den Geschäftsbereich Cross-Industry von einem unserer Kunden suchen wir in ganz Deutschland:

AWS Infrastructure Engineer (w/m/d)

Deine Aufgaben

Du entwicklest und implementierst dynamisch skalierbare, hochverfügbare und sichere Cloud-Anwendungen in Kundenprojekten
Du identifizierst Potenziale zur Automatisierung und Optimierung von Prozessen und setzt diese mithilfe von Cloud Services um
Du stellst die Einsatzfähigkeit von Lösungen mithilfe von DevSecOps sicher
Du machst Coachings für das Projekt Team hinsichtlich der verwendeten Technologien und Best Practices und unterstützt die Umsetzung hands-on
Du birngst dich mit deinen Ideen aktiv in unsere Cloud Community ein, erarbeitet Standards für zukünftige Projekte und leistest einen maßgeblichen Beitrag zur Zielerreichung unserer Kunden und unseres Teams

Das Bringst Du Mit

Container: Docker, Kubernetes
IaC: Terraform, AWS Cloudformation
Hands-on Entwicklungserfahrung mit Linux/UNIX-basierten Umgebungen
Erfahrung mit Cloud Architecture Management und gutes Verständnis von Security-Themen
Verhandlungssicheres Deutsch und gutes Englisch in Wort und Schrift
Du hast Lust in einem jungen dynamischen Team zu arbeiten und gemeinsam mit unserem Team Kunden zu unterstützen. Denn Arbeit soll auch Spaß machen, zumindest bei uns.

Worum Es Geht

Das Unternehmen ist einer der führenden IT-Dienstleister im deutschsprachigen Raum. Mit rund 6.800 Mitarbeitenden unterstützt das Unternehmen Kunden aus verschiedenen Branchen bei der Digitalen Transformation. Die Kultur und das Zusammenarbeiten innerhalb von dem Unternehmen sind geprägt von gegenseitiger Wertschätzung, Anerkennung und Unterstützung.

Dafür Wird Ihnen Geboten

30 Tage Urlaub im Jahr
Mobiles Arbeiten und flexible Arbeitszeiten
Spannende abwechslungsreiche Projekte im Cloud-Umfeld mit unterschiedlichen Industrien
Verschiedene Aus- und Weiterbildungsmöglichkeiten
Ein technisches Community, das Wissensvermittlung und fachlichen Austausch fördert
Solides On-Boarding Programm bei deinem Start
Eine junge dynamische Teamkultur, moderner Führungsstil und Kommunikation auf Augenhöhe

Hiring Process

1st Gespräch mit dem Fachbereich - 2nd Gespräch mit dem Fachbereich - Angebot/Absage

Impressum - https://www.frankgroup.com/de/impressum/",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
256,"Prien
Rosenheim
Ausbildung




Über uns




Wir suchen IT-Champions – bist Du dabei




Du kennst Deinen PC in- und auswendig (oder Du möchtest dies zukünftig)? Du optimierst die Router Deiner Familie und Freunde für Streaming und Co? Dann komm zu uns und lege mit Deiner Ausbildung den Grundstein auf dem Weg zum wahren IT-Champion!




Dich erwartet bei uns ein Team welches IT lebt und Dich von Anfang an in eine Ausbildung begleitet die sich nicht nur abwechslungsreich gestaltet, sondern auch ein verantwortungsvolles arbeiten fördert und fordert.




Wir betreiben das zentrale Rechenzentrum für Schön Klinik Gruppe, angebundene Cloud-Services sowie die damit verbundenen Technologien in den Standorten.




Deine Ausbildung erfolgt bei uns in Prien am Chiemsee sowie an unserem Standort in Rosenheim. Beide Standorte sind direkt per Bahn erreichbar.




Deine Aufgaben – Das Machst Du Bei Uns




Was erwartet Dich?




Du analysierst im Anwendersupport Frage- und Problemstellungen und unterstützt Mitarbeitende in ihrem täglichen Arbeitsablauf persönlich
Ob User-, Client- oder sonstige IT-Life-Cycle Prozesse, Du lernst sie alle kennen
Sicherer Umgang im Bereich der Netzwerk- und Serveradministration
Einsatz und Administration von Virtualisierungstechnologien (wie VMWare und Citrix)
Unser DevOps-Team gibt Dir Einblick in Cloud-Technologien wie Container, Kubernetes, Git usw.
Die Möglichkeit bei Projekten aktiv mitzuarbeiten und Dein Wissen zu erweitern bzw. zu vertiefen




Dein Profil – Das Bringst Du Mit




Du bist hier richtig, wenn




Du Spaß an komplexen Aufgabenstellungen und Voraussetzungen zu einer analytischen Herangehensweise an Problemlösungen mitbringst
Du selbst Interesse am Themen wie Digitalisierung, IT und Technik hast
Begeisterung für eigenständiges Arbeiten, Engagement, Verlässlichkeit und Teamgeist zu Deinen Stärken zählen
ein mittlerer Bildungsabschluss mit guten Noten vorliegt




Unsere Benefits – Das Bieten Wir Dir




Optimale Betreuung – Dein Ausbilder steht mit Dir im direkten Kontakt und Austausch
Enterprise IT – Lerne bzw. erfahre IT-Technologien die Dir nicht jedes Unternehmen bieten kann
30 Tage Urlaub im Jahr
Perspektive – Entwickle Dich auch nach Deiner Ausbildung bei uns im Team weiter! Wir bieten Dir vielfältige Übernahmemöglichkeiten!
Corporate Benefits – Nutze unsere Mitarbeiter-Vorteile wie z. B. Rabattaktionen in diversen Shops




Kontakt




Für Rückfragen steht Dir Patrick Schnofl, Ausbildungsbeauftragter IT, gerne zur Verfügung: 08051 695 425.",Berufseinstieg,Vollzeit,Qualitätssicherung,Krankenhäuser und Gesundheitswesen
257,"Why choose Logicalis?




Logicalis lets you experience the digital transformation up close – and to get involved in actively shaping its future. Your expertise makes you a crucial building block here. From pre-sales, sales and consulting to professional service, finance and marketing – we value collaboration highly. You’ll quickly gain access to the most important topics and points of contact in our organisation.




A modern, digital workplace and offices located centrally in the biggest German cities (Frankfurt, Berlin, Stuttgart, Munich, Cologne, Dusseldorf) round out what we have to offer. As we are active internationally, you can also get involved in projects on a global scale – a bonus that many of our customers around the world appreciate.




We offer speedy decision-making, opportunities for personal development, and a welcoming work environment.




Unsere Practice NCS benötigt Unterstützung im Bereich Cisco Collaboration.




Für diese Aufgabe suchen wir einen Solution Engineer (all genders) deutschlandweit.




Deine Aufgaben:
Implementierung, Integration und Konfiguration von Collaboration Systemen und Anwendungen in die IT Umgebung der Kunden
Kundenberatung und Erstellung von Solution Designs für hybride Cisco / Microsoft Collaboration Umgebungen
Support der Cisco Collaboration Umgebung mit den Schwerpunkten:
Anwenderunterstützung
Start von Videokonferenzen, Troubleshooting, Konferenzsupport




Dein Profil:
CCNP Collaboration
Erweiterte Kenntnisse in Cisco Collaboration insbesondere in:
CUCM/SME, CUC, Expressway C/E, Conductor, UCCX, UCCE
Analoge Voice Gateways (MGCP/SCCP), PSTN Gateways (MGCP/H323, CUBE)
SIP-Trunks, Cisco System Intercluster Lookup Service (ILS)
Phones: 79xx, 88xx
Softclients: CUCILync, Jabber for iPhone
Telepresence: SX10, Desk Pro, Room 55/70D, Room Kit (Plus) etc .
Third Party Software
ANDTEK Server (Group, Manager/Assistant, Contact Center, Voice Recording)
Kurmi
Fließende Deutsch- und gute Englischkenntnisse


Logicalis unterstützt die berufliche Förderung von Frauen in der IT und ist in den Bereichen, in denen der Anteil weiblicher Beschäftigter bislang nur gering ist, sehr an Bewerbungen von Frauen interessiert. Werde Teil eines Teams, das Vielfalt lebt und sich für Chancengerechtigkeit unabhängig von Alter, Herkunft, Geschlecht, sexueller Identität, Behinderung oder Weltanschauung einsetzt!

Wir bieten Dir:

eine der Stellenanforderung entsprechend attraktive Vergütung
30 Tage Urlaub
Home-Office
Nettolohnoptimierung
i. d. R. individuell angepasste Arbeitszeitmodelle
Karriere- und Aufstiegsmöglichkeiten innerhalb der Logicalis-Gruppe
umfangreiche Fort- und Weiterbildungsmöglichkeiten
ein offenes und kollegiales Betriebsklima
kurze Hierarchie- und Organisationswege


Logicalis unterstützt die berufliche Förderung von Frauen in der IT und ist in den Bereichen, in denen der Anteil weiblicher Beschäftigter bislang nur gering ist, sehr an Bewerbungen von Frauen interessiert. Werde Teil eines Teams, das Vielfalt lebt und sich für Chancengerechtigkeit unabhängig von Alter, Herkunft, Geschlecht, sexueller Identität, Behinderung oder Weltanschauung einsetzt!

Bewerben heißt bei uns, dass sich zwei bewerben: Wir bei Dir und Du bei Uns! Bei der Logicalis sprechen wir von Zusammenarbeit und die fängt bereits im Recruiting-Prozess an. Wir möchten jedem Kandidaten auf Augenhöhe begegnen. Das ist unsere Kultur, mit der wir auch innerhalb unseres Unternehmens zusammenarbeiten und diese Kultur leben wir auch im Recruiting.

Logicalis GmbH

People & Candidate Matters

Lisa Nagel-Theune (Talent Acquistion Specialist)

Frank Laurent (Manager People & Candidate Matters)

Phone: +49 (0) 6102/7786-849 or lisa.nagel-theune@logicalis.de

Phone: +49 (0) 6102/7786-508 or frank.laurent@logicalis.de",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,Computer-Netzwerkprodukte
258,"Stellenbeschreibung

Als Cloud Engineer im Bereich Technologie und Services administrieren und verwalten Sie Cloud Services für unserer Kunden.

Sie unterstützen unsere Kunden bei Ihrer jeweiligen Cloud-Strategie und bauen Services in Hybrid- und Multi-Cloud-Umgebungen auf.

Mit Ihrer Expertise sorgen sie für einen reibungslosen Betrieb von Cloud-Lösungen, überwachen und entwickeln diese nach Kundenanforderung stetig weiter.

Für unser Team suchen wir zum nächstmöglichen Zeitpunkt einen Cloud Engineer Engineer im Bereich Technologie und Services.

Standort:Dresden (DE)

Unternehmen:Robotron

Karrierelevel:Professional,Young Professional

Kategorie:Systemberatung

Fachgebiet:Beratung,Cloud,Konzeption

Geschäftsbereich:Technologie & Services

Vertrag:unbefristet

Zeitmodell:Vollzeit

Empfehlungsbund:IT

Tätigkeitsschwerpunkte

Konzeption und Bereitstellung von Cloud Infrastruktur
Design und Administration von Cloud-Services
Planung von Systemmigrationen in Cloud-Umgebungen
Monitoring der implementierten Cloud-Lösungen
Kosten- und Budgetmanagement
Stetige Weiterentwicklung und Optimierung von Cloud-Umgebungen
Durchführung von Workshops und Erstellung technischer Dokumentationen

Anforderungen

eine abgeschlossene IT-Ausbildung (z.B. Studium der Informatik, Fachinformatiker/in für Systemintegration oder vergleichbare Ausbildung)
fundierte Netzwerkkenntnisse
gute Betriebssystem-Kenntnisse (Linux / Windows)
praktische Erfahrungen mit einem der folgenden Hyper-Scaler: Azure, Oracle, AWS
gute Kenntnisse in der Script-Programmierung (Shell, Perl, Python, SQL)
Erfahrungen in der Automatisierung, Standardisierung und Entwicklung von System und Prozessen (z.B. mit Terraform und Ansible)
Aufbau von Data Pipelines
Erste Erfahrungen im Bereich Continuous Integration und Deployment (z.B. Jenkins, GitLab)
Praktische Erfahrungen im Umgang mit Serverless Architekturen bzw. Containerumgebungen (z.B. Lambda, Functions, Kubenetes, Docker)
ausgeprägte Service- und Kundenorientierung mit ständiger Weiterbildungsbereitschaft

Skills zu dieser Stellenanzeige: IT, Systemberatung, Beratung, Cloud, Konzeption, Cloud-Computing, System-Administrator, Ausbildung, IMS, Python, Service, Informatik, Linux, SQL und Programmierung

Wichtiger Hinweis Das ist eine Anzeige des Empfehlungsbund (EBND) von ITsax.de. Weitere wichtige Informationen zur Anzeige finden Sie unter https://www.itsax.de/jobs/214460/cloud-engineer-m-strich-w-strich-d-in-dresden",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,IT und Services
259,"
        StellenbeschreibungAls Cloud Engineer im Bereich Technologie und Services administrieren und verwalten Sie Cloud Services für unserer Kunden.Sie unterstützen unsere Kunden bei Ihrer jeweiligen Cloud-Strategie und bauen Services in Hybrid- und Multi-Cloud-Umgebungen auf.Mit Ihrer Expertise sorgen sie für einen reibungslosen Betrieb von Cloud-Lösungen, überwachen und entwickeln diese nach Kundenanforderung stetig weiter.Für unser Team suchen wir zum nächstmöglichen Zeitpunkt einen Cloud Engineer Engineer im Bereich Technologie und Services.Standort:Dresden (DE)Unternehmen:RobotronKarrierelevel:Professional,Young ProfessionalKategorie:SystemberatungFachgebiet:Beratung,Cloud,KonzeptionGeschäftsbereich:Technologie & ServicesVertrag:unbefristetZeitmodell:VollzeitEmpfehlungsbund:ITTätigkeitsschwerpunkteKonzeption und Bereitstellung von Cloud InfrastrukturDesign und Administration von Cloud-ServicesPlanung von Systemmigrationen in Cloud-UmgebungenMonitoring der implementierten Cloud-LösungenKosten- und BudgetmanagementStetige Weiterentwicklung und Optimierung von Cloud-UmgebungenDurchführung von Workshops und Erstellung technischer DokumentationenAnforderungeneine abgeschlossene IT-Ausbildung (z.B. Studium der Informatik, Fachinformatiker/in für Systemintegration oder vergleichbare Ausbildung)fundierte Netzwerkkenntnissegute Betriebssystem-Kenntnisse (Linux / Windows)praktische Erfahrungen mit einem der folgenden Hyper-Scaler: Azure, Oracle, AWSgute Kenntnisse in der Script-Programmierung (Shell, Perl, Python, SQL)Erfahrungen in der Automatisierung, Standardisierung und Entwicklung von System und Prozessen (z.B. mit Terraform und Ansible)Aufbau von Data PipelinesErste Erfahrungen im Bereich Continuous Integration und Deployment (z.B. Jenkins, GitLab)Praktische Erfahrungen im Umgang mit Serverless Architekturen bzw. Containerumgebungen (z.B. Lambda, Functions, Kubenetes, Docker)ausgeprägte Service- und Kundenorientierung mit ständiger WeiterbildungsbereitschaftSkills zu dieser Stellenanzeige: IT, Systemberatung, Beratung, Cloud, Konzeption, Cloud-Computing, System-Administrator, Ausbildung, IMS, Python, Service, Informatik, Linux, SQL und ProgrammierungWichtiger Hinweis Das ist eine Anzeige des Empfehlungsbund (EBND) von ITsax.de. Weitere wichtige Informationen zur Anzeige finden Sie unter https://www.itsax.de/jobs/214460/cloud-engineer-m-strich-w-strich-d-in-dresden
      ","
            Berufseinstieg
          ","
          Vollzeit
        ","
            Ingenieurwesen und IT
          ","
          IT und Services
          "
260,"Werde Teil eines jungen, dynamischen und aufstrebenden Teams und arbeite an spannenden CRM-Projekten im KMU und Start-Up Bereich und begleite gemeinsam mit uns unsere Kunden auf dem Weg zur Digitalisierung. Ailo-IT wurde im Januar 2019 gegründet und seither geht unsere Erfolgsgeschichte steil nach oben: innerhalb kürzester Zeit konnten wir namhafte Kunden für uns gewinnen und gehören mittlerweile zu den präferierten Implementierungspartnern für Projekte unter Verwendung der weltweit führenden und erfolgreichen CRM-Plattform Salesforce. Wir setzen uns täglich mit der Digitalisierung von Geschäftsmodellen und der Prozessoptimierungen bei spannenden Kunden auseinander, gestützt durch die besten Cloud Technologien und durch unser Expertenwissen. Werde auch du Teil unseres Erfolgs und bewirb dich jetzt!

Aufgaben

Beratung bzw. Unterstützung von kleinen und mittleren Unternehmen sowie Startups im Bereich Prozessoptimierung und Digitalisierung mittels CRM Software (Salesforce).
Unterstützung und Betreuung von Kunden von der Anforderungsanalyse bis hin zum Projektabschluss gemeinsam mit unserem Team.
Anpassung der CRM-Software an die Anforderungen des Kunden
Mitarbeit in der Weiterentwicklung des Unternehmens.


Qualifikation

Kenntnisse und gutes Grundverständnis zu Unternehmensprozessen in den Bereichen Vertrieb, Marketing und Service
Begeisterung für digitale Geschäftsmodelle und Technologien
Eine Affinität zur IT sowie gute Anwenderkenntnisse - Programmierkentnisse sind NICHT erforderlich
Idealerweise eine abgeschlossene Ausbildung oder Studium im Bereich der BWL, VWL, IT, Softwareentwicklung o.ä.


Benefits

Die Möglichkeit, in eine zukunftsorientierte Branche einzusteigen und deine Ideen ohne langwierige Zwischenwege einzubringen, um ein junges Start-Up mit- bzw.weiterzuentwickeln.
Umfassendes Onboarding mit einem „Buddy“ gemäß deiner bisherigen Erfahrung und deinem Wissen, sowie spannende Weiterentwicklungsmöglichkeiten (bspw. Salesforce Zertifizierungen) in einem wachsenden Unternehmen.
Eine interessante, eigenverantwortliche und abwechslungsreiche Tätigkeit, mit der Möglichkeit, jeden Tag Neues zu lernen und etwas zu bewegen.
Flexible Arbeitszeiteinteilung mit der Option auf Home-Office.
Flache Hierarchie mit einem Fokus auf eine Work-Life Balance.
Gute Verdienstmöglichkeiten und weitere Sozialleistungen.


Wir freuen uns über Bewerbungen von Berufserfahrenen, Berufseinsteigern und Quereinsteigern, die Lust haben, gemeinsam mit uns Großes zu bewirken. Gemäß deinen Qualifikationen und deinem Wissen unterstützen wir dich mit allen Mitteln beim Onboarding und beim Erlernen der benötigten Skills. Du fühlst dich angesprochen und hast Lust, Ailo-IT mit uns zusammen auf das nächste Level zu bringen? Dann bewirb dich jetzt!",Berufseinstieg,Vollzeit,Unternehmensberatung,IT-Services und IT-Consulting
261,"Über INGSERV




INGSERV verfügt als regional aufgestelltes Dienstleistungsunternehmen über langjährige Expertise bei der Unterstützung erfolgreicher Technologie- und Handelsunternehmen bei Projektbearbeitung und Beratung.




IT-Administrator m/w/d




Standort: Kassel




Anstellungsart(en): Vollzeit




Aufgabe




Administration von IT-Systemen




Tätigkeiten Und Zuständigkeit




Verwaltung und Einrichtung von IT-Systemen
Überwachung der Sicherheitssysteme
Einrichtung von Serverlandschaften und Clients
Auslegung der IT-Hardware
Support von Kundenanfragen und Tickets




Anforderungen




Erfolgreich abgeschlossene IT-Ausbildung oder einschlägige Weiterbildung
Erfahrungen im Support von Windows und Server Systemen
Hohe technische Affinität
Kenntnisse im Umgang mit Office 365
Sicheres Auftreten beim Kunden
Klare und direkte Kommunikation




Unser Angebot Für Sie




Unbefristete Anstellung, leistungsgerechte und durch Tarife abgesicherte Vergütung
Abwechslungsreiche, verantwortungsvolle und herausfordernde Aufgaben
Flexible Arbeitszeiten, Überstundenausgleich und überdurchschnittliche Sozialleistungen
Unterstützung bei Ihrer beruflichen Weiterentwicklung
Direkte und effektive Kommunikation




Kontaktdaten




personal@ingserv.de




Ansprechpartner: Dipl.-Ing. Nicolej Schwarz




Ergänzende Informationen




Anforderungen an den Bewerber:




Erweiterte Kenntnisse: Microsoft Windows Terminalserver, Netzwerktechnik MS Exchange Server, Cloud Computing, Verzeichnisdienst Active Directory, Client-Servertechnik, Fehlerverwaltungsprogramm Jira, Netzwerkadministration, -management, -organisation, Informationstechnik, Computertechnik, E-Ticketing",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
