,Description,Level,Type,Function,Industry
10,"Description

Exotec designs and develops warehouse technology solutions, combining robotics and software to optimize order preparation and logistics for some of the largest brands in retail, distribution and e-commerce .

Thanks to our fleets of robots capable of moving in three dimensions, Exotec has revolutionized the way customers organize their warehouses and logistics flows. We offer a clear alternative to traditional warehouse automation solutions: elegant collaboration between human and robot workers that delivers sustainable warehouse productivity, all while mitigating labor constraints and increasing workplace safety.

As the first industrial unicorn in France, our robotic solutions are now deployed across the globe. After raising $335M USD in a Series D led by Goldman Sachs' Growth Equity business, we continue to expand across Europe and are actively hiring for our Central & Eastern European market.

As part of the Exotec Maintenance team, the Maintenance Technician will provide on-site, warehouse support for a client based in Mannheim, BW, inclusive of troubleshooting and repairing any robotic systems or machinery as needed.

The robotics revolution is just the beginning at Exotec. Will you be part of it?

Responsibilities

Oversee the maintenance of all the systems (robots, machines, conveyors) installed by Exotec in the client’s warehouse
Perform corrective and preventative maintenance tasks on systems and machines
Monitor the performance of the installations
Assist with installation and deployment of new systems or machines
Respond quickly to emergency situations, summoning additional assistance as needed
Perform other duties as assigned


Requirements

At least 3 years of experience in a similar position
Good general knowledge and competency in mechanical, electrical and software maintenance operations and engineering
An interest working on various systems and machines
Full German fluency with any English communication skills an added advantage
Ability to work on-site at client warehouse in Mannheim, BW",Berufseinstieg,Vollzeit,Management und Fertigung,Produktionsautomatisierung
11,"Zum nächstmöglichen Zeitpunkt suche ich stellvertretend für mein

Kundenunternehmen, einen Elektroniker / Mechatroniker (m/w/d) zur

Festanstellung in Delitzsch.

Aufgaben

Inbetriebnahme, Wartung und Instandhaltung von elektrischen Systemen, Maschinen und Anlagen (u.a. Robotik, Antriebssysteme und Fördertechnik)
Störungsbeseitigung , Fehleranalyse und Optimierung an neuen und bestehenden Anlagen
Ausführung von Installationsarbeiten in der Anlagentechnik sowie von Änderungen an bestehenden elektrischen und elektronischen Anlagen
Einhaltung entsprechender Sicherheits- und Qualitätsrichtlinien


Qualifikation

Elektrotechnische / mechatronische Ausbildung oder vergleichbare Qualifikation
Kenntnisse in Mess-, Steuer- und Regeltechnik
Kenntnisse im Bereich SPS
Selbstständige Arbeitsweise gepaart mit Belastbarkeit, Zuverlässigkeit, Eigeninitiative und Teamfähigkeit
Bereitschaft zur Arbeit in einem 3-Schicht-System


Benefits

Sicherer Job in einem Unternehmen mit langer Tradition
Ein sofortiger Einstieg ist möglich
Unbefristeter Arbeitsvertrag
Attraktive Vergütung (VB)
Mitarbeiterrabatte im eigenen Werksverkauf
Monatlicher Gesundheitsbonus
Mitarbeiterparkplätze / sehr gute Anbindungen an öffentliche Verkehrsmittel im Großraum Leipzig/Halle
Schicht- und Mehrarbeitszuschläge
Eigene Mastercard mit monatlicher 44€ Aufladung (nach Probezeit)
Entwicklungsmöglichkeiten und Raum für Ideen und Verbesserungen
Professionelle Einarbeitung


Als ein junges, engagiertes und höchst innovatives Team ist Ihr

Erfolg unser Ziel! Wir sind der Meinung, dass jedes Unternehmen für den eigenen Erfolg gutes Personal benötigt. „Erfolg braucht gutes Personal“ ist für uns nicht nur eine Aussage oder ein Slogan, sondern eine Grundeinstellung für unser tägliches Handeln. Wir entwickeln individuelle Lösungen für unsere Kunden und bringen zusammen, was zusammen gehört. Mit einer Bewerbung bei uns, stimmen Sie auch der Weiterleitung der von Ihnen zur Verfügung gestellten Unterlagen an unseren Kooperationspartner ""Personal-Placement, Georgi-Dimitroff-Straße 68, 06132 Halle"" zu, welcher uns bei der Betreuung dieser Stelle unterstützt.

Wir freuen uns auf Ihre Bewerbungsunterlagen und die Chance Sie kennen zu lernen.",Berufseinstieg,Vollzeit,Fertigung,Personalberatung und -vermittlung
12,"Als Automatisierungsingenieur entwickelst Du Steuerungssysteme und Prozessautomatisierungslösungen für unsere Fertigungsanlagen und bist auch für die Inbetriebnahme vor Ort verantwortlich. Dabei arbeitest Du eng mit unseren Experten aus mechanischer Konstruktion, Software- sowie Anwendungsentwicklung zusammen – und direkt mit unseren namenhaften Großkunden! Deine Chance: In spannenden Projekten zusammen mit uns zu wachsen und in unserem internationalem Expertenteam schnell weitergehende Verantwortung zu übernehmen!

Aufgaben

Entwicklung und Umsetzung neuer funktionaler Anlagenkonzepte, einschließlich Steuerung, Sensorik und Bildverarbeitungssystemen
Offline-/Online-Programmierung unserer Anlagen und Anlagenmodule
Koordination und Durchführung von Inbetriebnahmen unserer Systeme mit Lieferanten und vor Ort beim Kunden
Konzeption und Umsetzung von neuen Ansätzen zur Steuerung / Bilderfassung innerhalb unserer Forschungsprogramme
Spezifikation und Beschaffungen von Kernkomponenten bei unseren weltweiten Lieferanten
Vorbereitung und Durchführung fachlicher Trainings von Bediener und Instandhaltern im Bereich Steuerungstechnik


Qualifikation

Abgeschlossenes Studium der Fachrichtungen Maschinenbau/Elektrotechnik/Elektronik, Mechatronik, Informatik oder einem verwandten Bereich
Mindestens 3 Jahre relevante Berufserfahrung in der Fertigungsautomatisierung und Einblick in die industrielle Bilderfassung
Erfahrung in der Inbetriebnahme von Automatisierungssystemen und Maschinensicherheit
Fundierte Kenntnisse der SPS- und HMI-Programmierung sowie in der Programmierung und Bedienung von Industrierobotern
Sehr gute Englischkenntnisse in Wort und Schrift, Deutschkenntnisse sind von Vorteil
Teamgeist, Kreativität und ein hohes Verantwortungsbewusstsein
Bereitschaft zu weltweiten Reisen (Reiseanteil 15-20%)


Benefits

Du arbeitest in einem hochmotivierten, interdisziplinären und internationalen Expertenteam
Du machst den Unterschied: wir geben Dir die Chance, schnell Verantwortung zu übernehmen
Boost your knowledge: Du lernst in unterschiedlichen Gebieten sowohl „on-the-job“ von unseren Experten als auch in regelmäßigen Weiterbildungen
Flache Hierarchien und schnelle Entscheidungen – wir begegnen uns auf Augenhöhe
Internationaler, renommierter Kundenstamm aus Luft- und Raumfahrt & Renewable Energy
Flexible Arbeitszeiten und die Möglichkeit, mobil zu arbeiten
Goodies wie regelmäßige Teamevents, Essenszuschuss, Zuschuss zum Fitnessstudio, kostenlose Getränke und Snacks


Cevotec ist der führende Entwickler und Anbieter vollautomatisierter Produktionsanlagen für Fiber Patch Placement. Mit den roboterbasierten Anlagen der SAMBA Serie und der CAD-CAM Software ARTIST STUDIO bieten wir eines der weltweit modernsten Composite-Legesysteme an. Unsere Kunden sind renommierte Hersteller aus den High-Tech Branchen Luft- und Raumfahrt sowie Erneuerbare Energien. Seit der Gründung in 2015 verfolgen wir unsere Vision, Fiber Patch Placement als neuen Standard in der Composite Industrie zu etablieren. Setzen wir gemeinsam milestones in composites!",Management,Vollzeit,Ingenieurwesen,Herstellung von Industriemaschinen
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
